timestamp,pelvis_w,pelvis_x,pelvis_y,pelvis_z,left_thigh_w,left_thigh_x,left_thigh_y,left_thigh_z,right_thigh_w,right_thigh_x,right_thigh_y,right_thigh_z
0.0,1.0,0.0,0.0,0.0,0.5992782148938939,0.7093243150429772,0.23950319991955654,-0.2834834289172684,0.5992782148938939,0.7093243150429772,0.23950319991955654,-0.2834834289172684
0.15,1.0,0.0,0.0,0.0,0.593841838105046,0.7115451237231116,0.2406484607171362,-0.2883465390400152,0.593841838105046,0.7115451237231116,0.2406484607171362,-0.2883465390400152
0.3,1.0,0.0,0.0,0.0,0.5930453273510593,0.7012641454621582,0.25547300444217264,-0.30209167813363147,0.5930453273510593,0.7012641454621582,0.25547300444217264,-0.30209167813363147
0.45,1.0,0.0,0.0,0.0,0.6017044495271083,0.6947159447168872,0.25801996395433324,-0.2979046991512668,0.6017044495271083,0.6947159447168872,0.25801996395433324,-0.2979046991512668
0.6,1.0,0.0,0.0,0.0,0.602905451208891,0.7076934491948697,0.23886943713266248,-0.2803861460079598,0.602905451208891,0.7076934491948697,0.23886943713266248,-0.2803861460079598
0.75,1.0,0.0,0.0,0.0,0.5987599033319028,0.7107057689870241,0.23794351628956908,-0.2824301172791047,0.5987599033319028,0.7107057689870241,0.23794351628956908,-0.2824301172791047
0.9,1.0,0.0,0.0,0.0,0.5870957512307428,0.7198996119116364,0.23398054228236417,-0.28690805755422044,0.5870957512307428,0.7198996119116364,0.23398054228236417,-0.28690805755422044
1.05,1.0,0.0,0.0,0.0,0.5927182486181799,0.7036678146297379,0.2524354285960579,-0.2996882360032352,0.5927182486181799,0.7036678146297379,0.2524354285960579,-0.2996882360032352
1.2,1.0,0.0,0.0,0.0,0.5889388196785309,0.7148242221093503,0.23976551548404318,-0.29101528438570406,0.5889388196785309,0.7148242221093503,0.23976551548404318,-0.29101528438570406
1.35,1.0,0.0,0.0,0.0,0.6007775732911391,0.7072455248056979,0.2412591018281369,-0.2840142969250024,0.6007775732911391,0.7072455248056979,0.2412591018281369,-0.2840142969250024
1.5,1.0,0.0,0.0,0.0,0.6089468231569336,0.7030747137615105,0.24043397053162005,-0.27759902602611597,0.6089468231569336,0.7030747137615105,0.24043397053162005,-0.27759902602611597
1.65,1.0,0.0,0.0,0.0,0.6005315768620489,0.7020439511744411,0.24879758029018978,-0.2908537086796497,0.6005315768620489,0.7020439511744411,0.24879758029018978,-0.2908537086796497
1.8,1.0,0.0,0.0,0.0,0.6091656046348529,0.7026819790579422,0.2408146227172912,-0.2777834046925707,0.6091656046348529,0.7026819790579422,0.2408146227172912,-0.2777834046925707
1.95,1.0,0.0,0.0,0.0,0.599632329476097,0.6975197867154515,0.25574404891930563,-0.29749318988820633,0.599632329476097,0.6975197867154515,0.25574404891930563,-0.29749318988820633
2.1,1.0,0.0,0.0,0.0,0.5910778609678917,0.7123307112440326,0.2416559923901547,-0.2912289501991892,0.5910778609678917,0.7123307112440326,0.2416559923901547,-0.2912289501991892
2.25,1.0,0.0,0.0,0.0,0.5960826216919811,0.70435417939702,0.2489996555514107,-0.29422758133465965,0.5960826216919811,0.70435417939702,0.2489996555514107,-0.29422758133465965
2.4,1.0,0.0,0.0,0.0,0.5900660183461195,0.7191258027405508,0.23278988804920114,-0.2837059073194562,0.5900660183461195,0.7191258027405508,0.23278988804920114,-0.2837059073194562
